,Address,City,Bed,LotSz,SqFt,Year,DOM_CDOM,DayofWkListed,MonthListed,YearListed,Date,OrigPrice,ListPrice,SellingPrice,total_baths,full_baths,three_q_baths,half_baths,q_baths,lat,lon
181,1502 E Milwaukee Ave ,Storm Lake,3,37505,1196,1975,50/50,5,1,2017,1/27/2017,159900,159900,159000,3,2,0,1,0,42.647346,-95.1802220382104
182,1700 W 6th St ,Storm Lake,4,16150,2028,1970,39/39,3,5,2017,5/31/2017,211500,211500,202800,3,2,1,0,0,42.645316,-95.225763
183,1113 Oneida St ,Storm Lake,3,11125,1296,1970,1-Jan,5,5,2017,5/12/2017,159500,159500,159500,2,2,0,0,0,42.6513844071062,-95.1949712723133
184,1005 E 8th St ,Storm Lake,3,8995,1320,1968,28/28,5,4,2017,4/21/2017,159000,159000,159000,3,3,0,0,0,42.6484,-95.188352
185,1309 Shoreway Rd ,Storm Lake,3,10622,1516,1964,42/42,5,7,2017,7/7/2017,225000,225000,220000,3,3,0,0,0,42.643238,-95.2245329
189,1204 E 9th St ,Storm Lake,5,11326,1264,2011,1-Jan,4,6,2017,6/15/2017,214900,214900,212000,3,3,0,0,0,42.649468258586,-95.1866596888925
190,110 Lake Ave ,Storm Lake,4,8400,2082,1919,8-Aug,4,6,2017,6/29/2017,219000,219000,225000,2,1,0,1,0,42.6369622276756,-95.2010840887606
191,697 Hyland Dr ,Storm Lake,4,14774,1686,2017,62/62,2,8,2017,8/15/2017,229500,229500,229700,3,3,0,0,0,42.6477386,-95.2223484
192,510 Angier Dr ,Storm Lake,3,9000,1358,1954,24/24,4,7,2017,7/6/2017,162500,162500,163500,2,1,1,0,0,42.6433929542045,-95.2249127374618
195,800 Pierce Dr ,Storm Lake,4,21222,2043,1959,49/49,5,9,2017,9/1/2017,219900,219900,207500,3,2,0,1,0,42.629663,-95.23791
196,517 Swallum Dr ,Storm Lake,3,10057,1536,1965,66/66,1,10,2017,10/2/2017,185000,169500,167000,2,1,1,0,0,42.6430593864106,-95.2182329547749
197,704 Angier Dr ,Storm Lake,3,11970,1778,1970,17/17,5,9,2017,9/1/2017,160000,160000,160000,3,2,1,0,0,42.6455713922234,-95.224919
